t,mx_avg,my_avg,mz_avg
0.00000000,0.12271803,0.00000000,-0.00000000
0.00250000,-0.08921700,0.00000000,0.00000000
0.00500000,0.80929498,-0.00000000,0.00000000
0.00750000,-0.04054812,0.00000000,0.00000002
0.01000000,0.24851655,0.00137711,0.00436512
0.01250000,0.02802148,0.01439669,-0.00189741
0.01500000,-0.04919635,0.00064287,-0.00086242
0.01750000,0.03241798,-0.01604973,-0.00489128
0.02000000,-0.04083895,-0.00070580,-0.00115754
0.02250000,0.02346010,0.02247834,-0.01943912
0.02500000,0.05258635,-0.00777859,0.01579395
0.02750000,0.01109076,0.02273737,0.00421434
0.03000000,-0.00755315,0.00294418,0.02501153
0.03250000,0.00841341,0.00435798,-0.01044106
0.03500000,-0.03870480,0.00820908,-0.00048591
0.03750000,0.01615731,-0.01209546,-0.01825008
0.04000000,0.01265232,0.00743599,0.01045843
0.04250000,0.01601797,-0.01185260,-0.01639955
0.04500000,-0.00847772,0.01033554,0.01619709
0.04750000,0.00362690,0.01324803,-0.01958888
0.05000000,0.03481082,-0.00936238,-0.01492099
0.05250000,0.01308735,0.03575810,-0.01269752
0.05500000,0.00355715,-0.01564020,-0.01905101
0.05750000,0.01228004,-0.01588427,0.01463922
0.06000000,-0.03297045,-0.01791559,0.01848435
0.06250000,0.01110369,0.02318085,-0.00706604
0.06500000,0.00509641,-0.02083177,-0.00674303
0.06750000,0.00825721,0.02588302,0.01324943
0.07000000,-0.00899280,0.00251891,-0.00125549
0.07250000,0.02353004,0.02534192,0.01034752
0.07500000,-0.00113095,-0.02242551,0.02130031
0.07750000,0.00934730,0.01955066,0.00096860
0.08000000,0.01307532,0.02035124,-0.01805838
0.08250000,0.00035812,0.02037084,-0.00852213
0.08500000,0.00691727,-0.00272103,-0.01040308
0.08750000,0.00730248,0.00328966,0.00734344
0.09000000,0.00769166,-0.00715745,0.01034436
0.09250000,-0.00979130,-0.00281706,-0.00922622
0.09500000,0.02069021,-0.00971768,-0.00475053
0.09750000,0.01537537,0.00046609,-0.00839573
0.10000000,-0.01169825,-0.01484063,0.02596885
0.10250000,0.00409109,0.00212291,-0.00849786
0.10500000,0.00616903,0.01227916,0.01425945
0.10750000,0.01268700,-0.00376057,-0.00372659
0.11000000,0.01028287,-0.01060696,0.00689238
0.11250000,-0.00031085,0.00597485,0.00062201
0.11500000,0.00257128,0.02175001,0.00764294
0.11750000,-0.00790725,-0.01320473,0.01142734
0.12000000,0.00828181,-0.00575668,-0.00077775
0.12250000,-0.00086329,-0.00049002,0.00169388
0.12500000,0.01450967,0.00056337,-0.00604540
0.12750000,0.00134076,-0.00353866,-0.00252517
0.13000000,0.00414669,-0.00128264,-0.00342439
0.13250000,0.00859429,0.00176988,0.00095911
0.13500000,-0.00019531,0.00170784,0.00507057
0.13750000,0.00032055,0.00008224,0.00779655
0.14000000,0.00264394,0.00323758,0.00121500
0.14250000,0.00817530,-0.00272139,-0.00138469
0.14500000,0.00377252,0.00489867,-0.00512686
0.14750000,0.00393032,-0.00653170,-0.00028928
0.15000000,-0.00191124,-0.00056924,-0.00376263
0.15250000,-0.00370082,-0.00052996,-0.00261999
0.15500000,-0.00222534,0.00466008,-0.00662574
0.15750000,0.00375571,-0.00404732,0.00224671
0.16000000,-0.00039561,0.00370243,0.00266409
0.16250000,0.00161245,-0.00192594,0.00005213
0.16500000,0.00423401,0.00488363,0.00004736
0.16750000,-0.00228099,-0.00177646,0.00096394
0.17000000,-0.00103532,0.00160856,0.00133580
0.17250000,0.00063598,0.00024931,0.00018738
0.17500000,0.00072360,0.00516842,-0.00149467
0.17750000,0.00210720,0.00087820,0.00332854
0.18000000,0.00053971,-0.00209639,-0.00119625
0.18250000,0.00460701,0.00081903,0.00183076
0.18500000,-0.00143018,-0.00082943,-0.00127273
0.18750000,-0.00072345,0.00301385,-0.00208796
0.19000000,0.00107276,0.00403472,0.00304943
0.19250000,-0.00080110,-0.00222824,-0.00505639
0.19500000,0.00088133,-0.00071188,0.00614339
0.19750000,0.00055086,-0.00378645,-0.00085676
0.20000000,0.00273678,0.00237288,-0.00009954
0.20250000,0.00588096,-0.00064348,-0.00043728
0.20500000,0.00613938,-0.00030904,-0.00528696
0.20750000,-0.00008618,0.00244397,0.00122980
0.21000000,0.00484819,0.00434201,-0.00149013
0.21250000,-0.00079953,-0.00423662,0.00365433
0.21500000,0.00021972,-0.00037508,-0.00456996
0.21750000,0.00248903,0.00124843,-0.00324753
0.22000000,0.00443832,0.00064128,-0.00358139
0.22250000,-0.00578144,0.00126071,-0.00249701
0.22500000,0.00256613,-0.00004512,0.00254842
0.22750000,-0.00068895,-0.00150700,-0.00476796
0.23000000,0.00015552,0.00227097,0.00516165
0.23250000,0.00013675,-0.00065264,-0.00022664
0.23500000,-0.00031134,0.00360307,0.00286930
0.23750000,0.00619814,-0.00029702,-0.00141466
0.24000000,0.00735863,0.00191435,0.00113270
0.24250000,0.00045799,-0.00091068,-0.00018301
0.24500000,0.00043542,0.00079844,0.00416163
0.24750000,0.00153397,0.00074129,-0.00029108
0.25000000,0.00250497,0.00066863,0.00218373
0.25250000,-0.00028049,-0.00069925,0.00154294
0.25500000,0.00061658,-0.00291556,-0.00079572
0.25750000,-0.00357004,0.00300646,0.00126516
0.26000000,0.00185467,-0.00151813,0.00166886
0.26250000,0.00003060,0.00059503,-0.00076312
0.26500000,-0.00013350,0.00223722,0.00095827
0.26750000,0.00033587,-0.00047737,0.00393039
0.27000000,0.00250698,-0.00163180,0.00020456
0.27250000,0.00023101,-0.00272694,0.00226160
0.27500000,0.00184519,0.00003414,-0.00112394
0.27750000,-0.00019264,-0.00279005,0.00373444
0.28000000,0.00043348,0.00085238,-0.00274076
0.28250000,0.00434519,0.00137176,-0.00193017
0.28500000,-0.00276725,-0.00143350,-0.00025668
0.28750000,0.00752796,0.00233721,-0.00327399
0.29000000,0.00063334,-0.00153536,0.00344326
0.29250000,0.00472865,0.00141345,0.00029591
0.29500000,0.00226184,-0.00305129,-0.00365380
0.29750000,-0.00052041,-0.00013002,0.00166725
0.30000000,0.00037993,0.00197852,0.00072389
0.30250000,0.00106353,0.00000892,0.00003389
0.30500000,0.00034832,-0.00243911,-0.00149663
0.30750000,-0.00220866,0.00262333,-0.00079732
0.31000000,0.00335623,0.00207163,-0.00007596
0.31250000,0.00009801,0.00098952,-0.00149162
0.31500000,0.00049366,0.00046107,-0.00034100
0.31750000,0.00236066,-0.00045378,0.00067500
0.32000000,-0.00007026,0.00032667,0.00346542
0.32250000,0.00365624,-0.00361707,-0.00070424
0.32500000,0.00268844,0.00009564,0.00145598
0.32750000,-0.00026924,-0.00144024,0.00043479
0.33000000,0.00107304,-0.00260259,0.00112665
0.33250000,0.00466862,0.00134373,0.00268931
0.33500000,-0.00007297,0.00093453,-0.00019050
0.33750000,0.00096954,-0.00159909,0.00106409
0.34000000,-0.00294159,0.00194593,-0.00000608
0.34250000,0.00150169,-0.00008075,-0.00064931
0.34500000,-0.00045320,0.00505302,-0.00245128
0.34750000,0.00579822,-0.00452842,-0.00292315
0.35000000,0.00069956,-0.00041559,-0.00170664
0.35250000,0.00319820,-0.00255403,0.00148285
0.35500000,0.00465336,0.00167228,-0.00020162
0.35750000,-0.00001313,0.00017369,-0.00288306
0.36000000,0.00128110,0.00283148,0.00155697
0.36250000,0.00322664,-0.00072860,0.00052163
0.36500000,0.00141784,-0.00033115,-0.00020928
0.36750000,0.00215545,0.00273039,0.00262239
0.37000000,0.00004143,-0.00056685,-0.00199740
0.37250000,0.00302363,0.00071301,0.00081345
0.37500000,0.00280738,0.00097981,-0.00464838
0.37750000,-0.00012046,-0.00212905,0.00228154
0.38000000,-0.00081669,-0.00410011,0.00370512
0.38250000,0.00119998,-0.00069244,-0.00275650
0.38500000,0.00126183,-0.00157347,0.00106361
0.38750000,0.00023217,-0.00024787,0.00042189
0.39000000,0.00180999,-0.00002498,0.00248933
0.39250000,0.00261043,-0.00072126,0.00289095
0.39500000,-0.00014320,0.00105948,-0.00428674
0.39750000,-0.00015662,-0.00134690,-0.00089176
0.40000000,0.00311111,-0.00015133,-0.00383511
0.40250000,-0.00171421,0.00113853,0.00067562
0.40500000,0.00527832,0.00025150,-0.00328547
0.40750000,0.00206967,0.00057124,-0.00247376
0.41000000,0.00131702,0.00242257,-0.00127563
0.41250000,0.00134441,0.00234998,-0.00163639
0.41500000,0.00035249,-0.00585647,0.00059296
0.41750000,-0.00078935,0.00195299,-0.00158497
0.42000000,-0.00015851,-0.00159202,0.00047026
0.42250000,-0.00179335,-0.00306860,-0.00049584
0.42500000,-0.00233388,-0.00069768,-0.00214067
0.42750000,0.00293726,-0.00106650,-0.00295645
0.43000000,0.00819224,0.00111068,0.00264151
0.43250000,0.00006218,-0.00164355,0.00030269
0.43500000,0.00088851,-0.00147512,-0.00195488
0.43750000,0.00224764,0.00061341,-0.00079466
0.44000000,0.00022249,-0.00142588,0.00115648
0.44250000,-0.00150229,-0.00114251,0.00306914
0.44500000,-0.00090978,-0.00005808,0.00036424
0.44750000,0.00250126,0.00032926,0.00236085
0.45000000,0.00394784,-0.00118405,0.00235280
0.45250000,0.00041756,0.00255738,0.00053095
0.45500000,0.00617549,-0.00158339,0.00041965
0.45750000,0.00158007,-0.00256659,-0.00029655
0.46000000,0.00243197,-0.00267335,0.00154793
0.46250000,0.00366550,0.00186039,0.00091747
0.46500000,0.00196553,-0.00132215,-0.00020231
0.46750000,-0.00003113,-0.00394347,-0.00035118
0.47000000,-0.00178548,0.00222445,0.00100195
0.47250000,-0.00100631,0.00034110,-0.00019011
0.47500000,0.00177468,-0.00188068,0.00018048
0.47750000,0.00144584,-0.00150605,-0.00624005
0.48000000,0.00116537,0.00359620,-0.00008596
0.48250000,0.00195509,0.00052443,0.00046063
0.48500000,0.00238104,0.00023358,-0.00048664
0.48750000,0.00162938,0.00178222,-0.00024312
0.49000000,-0.00290587,0.00156328,0.00093057
0.49250000,0.00080880,-0.00055169,-0.00046407
0.49500000,-0.00141474,-0.00153714,0.00059927
0.49750000,0.00106546,0.00053032,0.00204540
0.50000000,0.00134690,-0.00062714,-0.00247966
0.50250000,0.00102372,0.00087004,0.00164055
0.50500000,-0.00045675,-0.00085499,0.00130120
0.50750000,0.00045275,0.00361535,-0.00234795
0.51000000,0.00105793,-0.00238825,0.00023797
0.51250000,0.00573737,0.00157763,-0.00098353
0.51500000,0.00024863,-0.00112893,0.00000914
0.51750000,-0.00087972,0.00173234,-0.00074319
0.52000000,0.00227451,0.00043748,-0.00071801
0.52250000,0.00378047,-0.00088510,0.00078433
0.52500000,0.00027827,0.00426407,0.00195127
0.52750000,0.00071804,-0.00421387,-0.00051770
0.53000000,0.00150412,0.00221982,-0.00361590
0.53250000,0.00216868,0.00045852,-0.00059812
0.53500000,0.00137716,-0.00226611,0.00389354
0.53750000,0.00024818,0.00236960,0.00017525
0.54000000,0.00289077,-0.00281051,-0.00411543
0.54250000,0.00031935,-0.00112491,0.00319574
0.54500000,0.00022211,0.00413210,-0.00141100
0.54750000,0.00074765,0.00008969,-0.00001415
0.55000000,0.00512055,-0.00034876,0.00039194
0.55250000,-0.00179956,-0.00308601,0.00064135
0.55500000,0.00255153,0.00105416,-0.00086430
0.55750000,0.00191530,-0.00010365,-0.00383117
0.56000000,-0.00053424,-0.00159021,0.00452041
0.56250000,-0.00010729,-0.00103436,-0.00160511
0.56500000,0.00059157,0.00056090,0.00020288
0.56750000,0.00063190,-0.00280019,0.00187353
0.57000000,0.00094162,-0.00122020,0.00098962
