t,mx,my,mz
0.00000000,0.00000000,0.00000000,1.00000000
0.01000000,-0.00099995,-0.00999950,0.99994950
0.02000000,-0.00199985,-0.01999797,0.99979802
0.03000000,-0.00299969,-0.02999440,0.99954557
0.04000000,-0.00399948,-0.03998774,0.99919217
0.05000000,-0.00499921,-0.04997698,0.99873786
0.06000000,-0.00599888,-0.05996108,0.99818269
0.07000000,-0.00699850,-0.06993902,0.99752672
0.08000000,-0.00799804,-0.07990976,0.99677001
0.09000000,-0.00899752,-0.08987228,0.99591266
0.10000000,-0.00999694,-0.09982556,0.99495473
0.11000000,-0.01099628,-0.10976857,0.99389634
0.12000000,-0.01199556,-0.11970028,0.99273760
0.13000000,-0.01299476,-0.12961967,0.99147863
0.14000000,-0.01399388,-0.13952573,0.99011956
0.15000000,-0.01499293,-0.14941743,0.98866053
0.16000000,-0.01599190,-0.15929375,0.98710170
0.17000000,-0.01699078,-0.16915368,0.98544322
0.18000000,-0.01798959,-0.17899620,0.98368528
0.19000000,-0.01898830,-0.18882031,0.98182806
0.20000000,-0.01998693,-0.19862497,0.97987175
0.21000000,-0.02098548,-0.20840920,0.97781655
0.22000000,-0.02198393,-0.21817198,0.97566269
0.23000000,-0.02298228,-0.22791231,0.97341039
0.24000000,-0.02398054,-0.23762918,0.97105989
0.25000000,-0.02497871,-0.24732160,0.96861142
0.26000000,-0.02597677,-0.25698856,0.96606526
0.27000000,-0.02697474,-0.26662909,0.96342166
0.28000000,-0.02797260,-0.27624217,0.96068090
0.29000000,-0.02897035,-0.28582683,0.95784328
0.30000000,-0.02996800,-0.29538208,0.95490908
0.31000000,-0.03096554,-0.30490693,0.95187861
0.32000000,-0.03196297,-0.31440042,0.94875221
0.33000000,-0.03296029,-0.32386155,0.94553018
0.34000000,-0.03395749,-0.33328937,0.94221287
0.35000000,-0.03495457,-0.34268289,0.93880062
0.36000000,-0.03595153,-0.35204116,0.93529381
0.37000000,-0.03694838,-0.36136322,0.93169278
0.38000000,-0.03794510,-0.37064811,0.92799793
0.39000000,-0.03894170,-0.37989486,0.92420963
0.40000000,-0.03993817,-0.38910255,0.92032828
0.41000000,-0.04093451,-0.39827021,0.91635430
0.42000000,-0.04193072,-0.40739691,0.91228810
0.43000000,-0.04292680,-0.41648172,0.90813010
0.44000000,-0.04392274,-0.42552369,0.90388073
0.45000000,-0.04491855,-0.43452191,0.89954046
0.46000000,-0.04591421,-0.44347544,0.89510972
0.47000000,-0.04690974,-0.45238338,0.89058899
0.48000000,-0.04790513,-0.46124481,0.88597874
0.49000000,-0.04890037,-0.47005882,0.88127945
0.50000000,-0.04989546,-0.47882450,0.87649161
0.51000000,-0.05089041,-0.48754097,0.87161572
0.52000000,-0.05188521,-0.49620732,0.86665231
0.53000000,-0.05287985,-0.50482268,0.86160187
0.54000000,-0.05387434,-0.51338615,0.85646496
0.55000000,-0.05486868,-0.52189686,0.85124209
0.56000000,-0.05586286,-0.53035394,0.84593383
0.57000000,-0.05685687,-0.53875653,0.84054072
0.58000000,-0.05785073,-0.54710377,0.83506333
0.59000000,-0.05884442,-0.55539480,0.82950223
0.60000000,-0.05983795,-0.56362878,0.82385801
0.61000000,-0.06083130,-0.57180486,0.81813126
0.62000000,-0.06182449,-0.57992221,0.81232257
0.63000000,-0.06281751,-0.58798000,0.80643256
0.64000000,-0.06381036,-0.59597742,0.80046184
0.65000000,-0.06480302,-0.60391363,0.79441104
0.66000000,-0.06579552,-0.61178784,0.78828078
0.67000000,-0.06678783,-0.61959924,0.78207171
0.68000000,-0.06777996,-0.62734704,0.77578449
0.69000000,-0.06877191,-0.63503044,0.76941976
0.70000000,-0.06976367,-0.64264867,0.76297819
0.71000000,-0.07075525,-0.65020094,0.75646046
0.72000000,-0.07174664,-0.65768650,0.74986725
0.73000000,-0.07273784,-0.66510457,0.74319925
0.74000000,-0.07372884,-0.67245440,0.73645715
0.75000000,-0.07471966,-0.67973526,0.72964166
0.76000000,-0.07571027,-0.68694639,0.72275350
0.77000000,-0.07670069,-0.69408706,0.71579337
0.78000000,-0.07769090,-0.70115656,0.70876202
0.79000000,-0.07868092,-0.70815416,0.70166017
0.80000000,-0.07967073,-0.71507916,0.69448857
0.81000000,-0.08066034,-0.72193085,0.68724796
0.82000000,-0.08164973,-0.72870854,0.67993911
0.83000000,-0.08263892,-0.73541154,0.67256277
0.84000000,-0.08362790,-0.74203918,0.66511971
0.85000000,-0.08461666,-0.74859078,0.65761072
0.86000000,-0.08560521,-0.75506569,0.65003658
0.87000000,-0.08659354,-0.76146325,0.64239807
0.88000000,-0.08758165,-0.76778281,0.63469600
0.89000000,-0.08856954,-0.77402374,0.62693117
0.90000000,-0.08955721,-0.78018540,0.61910439
0.91000000,-0.09054465,-0.78626719,0.61121647
0.92000000,-0.09153187,-0.79226848,0.60326824
0.93000000,-0.09251886,-0.79818868,0.59526053
0.94000000,-0.09350562,-0.80402718,0.58719417
0.95000000,-0.09449215,-0.80978340,0.57907001
0.96000000,-0.09547844,-0.81545677,0.57088888
0.97000000,-0.09646450,-0.82104672,0.56265165
0.98000000,-0.09745032,-0.82655268,0.55435918
0.99000000,-0.09843590,-0.83197411,0.54601232
1.00000000,-0.09942123,-0.83731047,0.53761194
